product_name,product_link,shop_name,shop_link,price,est_mo_sales,est_mo_revenue,est_total_sales,reviews,listing_age,favorites,avg_reviews,views,category,tags_used,auto_renews,is_customizable,is_personalizable,description_character_count,has_variations,is_supply,minimum_processing,placement_of_listing_in_shop,shipped_from,shop_age,visibility_score,conversion_rate,shop_digital_listing_count,title_character,when_made,who_made,total_shop_sales,listing_tye,tags,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13
Personalised Acrylic Price List & QR Code | Beauty Salon Wall Sign | Hair Salon | White and Gold Price List | Treatment Board | Pricing Menu,https://www.etsy.com/listing/1717817668/personalised-acrylic-price-list-qr-code,SpartanUK,https://www.etsy.com/shop/SpartanUK,20,0,0,36,4,5 Mo.,223,0,7248,Paper & Party Supplies,,true,false,true,,true,false,1,-1,GB,98,100,0.53,0,140,made_to_order,i_did,7018,physical,"Acrylic Price List,Salon Price List,White and Gold,Beauty Price List,Personalised Sign,Treatment Menu,Wall Plaque,Acrylic Sign,Aesthetics Services,Small Business,Qr Code Sign,Scan to Pay,Hairdresser Stylist",Acrylic Price List,Salon Price List,White and Gold,Beauty Price List,Personalised Sign,Treatment Menu,Wall Plaque,Acrylic Sign,Aesthetics Services,Small Business,Qr Code Sign,Scan to Pay,Hairdresser Stylist
Modern Grey House Sign Silver Acrylic Property Number Marble Apartment Name Door Plaque Contemporary Minimalist Matte Perspex New Home Gift,https://www.etsy.com/listing/1747833205/modern-grey-house-sign-silver-acrylic,SpartanUK,https://www.etsy.com/shop/SpartanUK,19,0,0,0,0,4 Mo.,6,0,356,Home & Living,,true,false,true,,true,false,1,-1,GB,98,33,0.0,0,139,made_to_order,i_did,7018,physical,"Acrylic Sign,House Number Sign,House Numbers,House Sign,Modern House Sign,Door Sign,Door Number,Hausnummer,Door Number Plaque,Front Door Sign,Address Sign,House Name Plaque,ksmartsign",Acrylic Sign,House Number Sign,House Numbers,House Sign,Modern House Sign,Door Sign,Door Number,Hausnummer,Door Number Plaque,Front Door Sign,Address Sign,House Name Plaque,ksmartsign
"Personalised Acrylic Sign with Business Logo, QR Code Signage Plaque Personalised Shop Opening Times, Connect with us, Office Door",https://www.etsy.com/listing/1736203604/personalised-acrylic-sign-with-business,SpartanUK,https://www.etsy.com/shop/SpartanUK,20,0,0,9,1,4 Mo.,1,0,33,Home & Living,,false,false,true,,true,false,1,-1,GB,98,0,27.27,0,130,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,sign for door,qr code,printed acrylic,modern,shop sign,contemporary,acrylic sign",business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,sign for door,qr code,printed acrylic,modern,shop sign,contemporary,acrylic sign
"Acrylic Treatment Price List & QR Code Sign, Scan to Pay Salon Plaques, Wall Mounted Salon Price List, Hairdresser Barber Service Menu, Spa",https://www.etsy.com/listing/1726333651/acrylic-treatment-price-list-qr-code,SpartanUK,https://www.etsy.com/shop/SpartanUK,33,0,0,9,1,5 Mo.,31,0,832,Home & Living,,false,false,false,,true,false,1,3,GB,98,51,1.08,0,139,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,personalised acrylic,qr code,shop sign,acrylic sign,price list menu,salon sign board,treatment menu,acrylic sign plaque,aesthetics treatment,salon price list,treatment price list",business logo sign,custom logo plaque,personalised acrylic,qr code,shop sign,acrylic sign,price list menu,salon sign board,treatment menu,acrylic sign plaque,aesthetics treatment,salon price list,treatment price list
"Acrylic Business Hours Sign, Office Open Times, Wayfinding QR Code Signage Plaque, Outdoor Logo Sign for Business, Reception, Door",https://www.etsy.com/listing/1794176182/acrylic-business-hours-sign-office-open,SpartanUK,https://www.etsy.com/shop/SpartanUK,31,0,0,0,0,1 Mo.,0,0,0,Home & Living,,false,false,true,,true,false,1,-1,GB,98,0,0.0,0,130,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign",business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign
"Custom Printed Acrylic Business Hours Sign, Personalised Shop Opening Times, QR Code Signage Plaque, Outdoor Office Sign, Reception, Door",https://www.etsy.com/listing/1709576304/custom-printed-acrylic-business-hours,SpartanUK,https://www.etsy.com/shop/SpartanUK,26,0,0,9,1,6 Mo.,18,0,687,Home & Living,,false,false,true,,true,false,1,-1,GB,98,39,1.31,0,137,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign",business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign
"Custom Printed Acrylic Business Hours Sign, Personalised Shop Opening Times, QR Code Signage Plaque, Outdoor Office Sign, Reception, Door",https://www.etsy.com/listing/1709569100/custom-printed-acrylic-business-hours,SpartanUK,https://www.etsy.com/shop/SpartanUK,26,9,235,62,7,6 Mo.,42,1,1226,Home & Living,,false,false,true,,true,false,1,-1,GB,98,57,5.06,0,137,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign",business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign
Personalised Acrylic Sign Custom Logo or Any Text Printed Circle Oval QR Code Plaque House Number Sign Printed Logo Address Signage,https://www.etsy.com/listing/1759532169/personalised-acrylic-sign-custom-logo-or,SpartanUK,https://www.etsy.com/shop/SpartanUK,10,27,281,89,10,3 Mo.,46,3,2419,Home & Living,,false,false,true,,true,false,1,-1,GB,98,100,3.97,0,131,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,house number,personalised acrylic,large logo sign,sign for door,shop sign,acrylic sign,Personalized Signage,Stand off Sign,Printed Sign,Wall Plaque",business logo sign,custom logo plaque,small business,house number,personalised acrylic,large logo sign,sign for door,shop sign,acrylic sign,Personalized Signage,Stand off Sign,Printed Sign,Wall Plaque
Meet the Team Wall Sign | Acrylic Business Logo Signage | Employee of the Month Display | Wall Mounted Beauty Spa Dentist Office Building,https://www.etsy.com/listing/1788053678/meet-the-team-wall-sign-acrylic-business,SpartanUK,https://www.etsy.com/shop/SpartanUK,70,0,0,0,0,1 Mo.,5,0,70,Home & Living,,true,false,true,,true,false,1,5,GB,98,30,0.0,0,137,made_to_order,i_did,7018,physical,"business logo sign,office name plate,directory sign,wayfinding sign,office suite sign,acrylic signage,business directory,office registry sign,acrylic logo sign,salon sign,meet the team sign,employee of month",business logo sign,office name plate,directory sign,wayfinding sign,office suite sign,acrylic signage,business directory,office registry sign,acrylic logo sign,salon sign,meet the team sign,employee of month,--
"6 Personalised AirBNB Guest Information Sign Set & Dry Wipe Board, Super host  Holiday Rental QR code Sign, Hotel Information Board, Acrylic",https://www.etsy.com/listing/1702302567/6-personalised-airbnb-guest-information,SpartanUK,https://www.etsy.com/shop/SpartanUK,78,0,0,0,0,7 Mo.,14,0,389,Home & Living,,true,false,false,,true,false,1,-1,GB,98,25,0.0,0,140,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,house number,personalised acrylic,large logo sign,qr code,printed acrylic,shop sign,air BNB,guest information,dry wipe board,holiday rental",business logo sign,custom logo plaque,small business,house number,personalised acrylic,large logo sign,qr code,printed acrylic,shop sign,air BNB,guest information,dry wipe board,holiday rental
